"DEJAVNOST","2010 CO2 (Gg)","2010 N2O (Mg)","2010 CH4 (Mg)","2010 SF6 (Mg)","2011 CO2 (Gg)","2011 N2O (Mg)","2011 CH4 (Mg)","2011 SF6 (Mg)","2012 CO2 (Gg)","2012 N2O (Mg)","2012 CH4 (Mg)","2012 SF6 (Mg)","2013 CO2 (Gg)","2013 N2O (Mg)","2013 CH4 (Mg)","2013 SF6 (Mg)","2014 CO2 (Gg)","2014 N2O (Mg)","2014 CH4 (Mg)","2014 SF6 (Mg)","2015 CO2 (Gg)","2015 N2O (Mg)","2015 CH4 (Mg)","2015 SF6 (Mg)","2016 CO2 (Gg)","2016 N2O (Mg)","2016 CH4 (Mg)","2016 SF6 (Mg)","2017 CO2 (Gg)","2017 N2O (Mg)","2017 CH4 (Mg)","2017 SF6 (Mg)"
"E36 Zbiranje, preèišèevanje in distribucija vode",37.2,0.9,1.5,-,41.7,1.1,1.5,-,40.9,1.2,1.3,-,38.3,1.2,1.2,-,39.6,1.4,1.2,-,40.0,1.5,1.1,-,39.7,1.7,0.7,-,44.1,2.0,0.6,-
"E(37-39) Ravnanje z odplakami; zbiranje in odvoz odpadkov ter ravnanje z njimi; pridobivanje sekundarnih surovin; saniranje okolja in drugo ravnanje z odpadki",58.7,137.7,23285.1,-,65.0,141.9,23398.3,-,64.3,141.2,22664.0,-,72.1,143.0,21496.4,-,74.9,144.2,20047.4,-,81.7,145.0,20317.6,-,78.7,145.8,20225.0,-,87.5,152.0,19407.7,-
"F Gradbeništvo",906.2,45.4,39.2,-,988.1,44.3,37.2,-,981.0,47.3,34.1,-,899.9,44.5,31.0,-,912.9,46.3,28.7,-,933.2,50.8,27.8,-,944.2,56.8,18.7,-,1064.3,67.3,17.8,-
"F(41-43) Gradbeništvo",906.2,45.4,39.2,-,988.1,44.3,37.2,-,981.0,47.3,34.1,-,899.9,44.5,31.0,-,912.9,46.3,28.7,-,933.2,50.8,27.8,-,944.2,56.8,18.7,-,1064.3,67.3,17.8,-
"G Trgovina; vzdrževanje in popravila motornih vozil",565.4,13.5,24.5,-,630.0,16.5,24.1,-,619.5,17.9,21.8,-,592.7,18.7,20.5,-,588.2,20.1,18.4,-,595.2,21.7,17.6,-,604.9,25.5,11.7,-,672.6,30.6,10.8,-
"G45 Trgovina; vzdrževanje in popravila motornih vozil",121.5,3.0,5.9,-,134.0,3.6,5.7,-,132.1,3.9,5.2,-,119.0,3.8,4.5,-,119.3,4.1,4.1,-,126.5,4.6,4.2,-,135.0,5.5,3.2,-,152.7,6.8,3.1,-
"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili",290.1,6.8,12.1,-,324.1,8.4,12.0,-,318.5,9.2,10.9,-,307.7,9.7,10.4,-,305.6,10.4,9.3,-,305.1,11.2,8.7,-,307.4,13.1,5.6,-,343.8,15.8,5.1,-
"G47 Trgovina na drobno, razen z motornimi vozili",153.8,3.6,6.4,-,171.9,4.5,6.4,-,168.9,4.9,5.8,-,166.0,5.2,5.6,-,163.3,5.6,5.0,-,163.7,6.0,4.7,-,162.5,6.9,2.9,-,176.0,8.1,2.6,-
"H Promet in skladišèenje",747.8,29.5,39.5,-,824.0,32.9,39.5,-,786.3,34.3,34.2,-,757.2,32.6,34.0,-,714.3,37.9,24.9,-,719.9,38.0,24.1,-,730.7,39.9,18.2,-,790.7,44.6,15.7,-
"H49 Kopenski promet; cevovodni transport",532.4,26.1,21.9,-,592.3,28.9,21.8,-,582.4,30.2,20.0,-,544.4,28.3,18.4,-,562.8,33.7,17.6,-,561.3,33.4,16.5,-,563.7,34.6,10.6,-,620.9,38.4,9.6,-
